"last_name","first_name","hire_date"
"Chiola","Franziska","1986-04-14"
"Marsiglia","Seshu","1986-07-13"
"Gustavson","Abdelwaheb","1986-11-14"
"Pintelas","Yolla","1986-06-19"
"Ghazalie","Georgy","1986-07-24"
"Peak","Gad","1986-06-28"
"Ranon","Sahrah","1986-01-28"
"Gronowski","Xiaocheng","1986-08-13"
"Debuse","Odysseas","1986-06-28"
"Cunliffe","Alexius","1986-11-07"
"Covnot","Ohad","1986-01-30"
"Muhling","Zeydy","1986-03-29"
"Goodrum","Xiaoqiu","1986-04-06"
"Beetstra","Fusako","1986-12-10"
"Kragelund","Visit","1986-02-12"
"Litecky","Berto","1986-12-02"
"Byoun","Mingdong","1986-09-17"
"Chartres","Rance","1986-01-10"
"Billingsley","Baoqiu","1986-11-06"
"Candan","Eben","1986-06-28"
"Stasinski","Shushma","1986-08-08"
"Orlowska","Mario","1986-01-01"
"Bressoud","Shushma","1986-06-29"
"Mullainathan","Khosrow","1986-06-11"
"Passafiume","Randi","1986-07-07"
"Rouquie","Hatsukazu","1986-10-28"
"Busillo","Qiwen","1986-06-12"
"Plump","Tua","1986-11-25"
"Salinas","Szabolcs","1986-07-17"
"Orsini","Junsik","1986-07-02"
"Demeyer","Aksel","1986-02-27"
"Perez","Thanasis","1986-11-23"
"Dengi","Seongbae","1986-05-02"
"Leslie","Anneke","1986-11-16"
"Solovay","Mads","1986-03-31"
"Lampe","Hausi","1986-08-02"
"Besselaar","Mara","1986-09-17"
"Ananiadou","Arco","1986-02-16"
"Huhdanpaa","Berry","1986-08-23"
"Smeets","Kazuhiko","1986-09-28"
"Lamparter","Kauko","1986-01-23"
"Siksek","Marko","1986-07-15"
"Gruenwald","Ennio","1986-07-03"
"Conti","Martijn","1986-04-06"
"Alblas","Hisao","1986-01-14"
"Bhattacharjee","Lalit","1986-09-07"
"Luan","Yucai","1986-08-22"
"Itzfeldt","Huei","1986-05-29"
"Krohm","Slavian","1986-11-28"
"Kamble","Rosella","1986-07-27"
"Sgarro","Kannan","1986-08-06"
"Fetvedt","Tetsushi","1986-02-03"
"Kushner","Yishai","1986-07-02"
"Kobara","Maren","1986-02-07"
"Mitchem","Valter","1986-09-13"
"Reutenauer","Huiqun","1986-01-27"
"Gruenwald","Moheb","1986-03-28"
"Junot","Kristof","1986-10-04"
"Skogmar","Nectarios","1986-02-17"
"Rosch","Shuzo","1986-06-28"
"Zaumen","Marie","1986-01-09"
"Janetzko","Horward","1986-04-13"
"Spinelli","Gil","1986-10-31"
"Cooley","Kannan","1986-09-18"
"Kropf","Odysseas","1986-02-08"
"dAstous","Hironoby","1986-11-25"
"Passafiume","Mohua","1986-04-09"
"Spieker","Navin","1986-08-02"
"Lieblein","Abdelkader","1986-05-28"
"Scharstein","Bedir","1986-08-31"
"Cannard","Almudena","1986-07-28"
"Comellas","Mitchel","1986-09-28"
"Biran","Mohua","1986-04-06"
"Merli","Leah","1986-02-12"
"Rathonyi","Taiji","1986-06-04"
"Solares","Susanna","1986-05-31"
"Lorho","Djelloul","1986-06-21"
"Basart","Jacopo","1986-05-14"
"Suwa","Shuji","1986-01-25"
"Turnbull","Heon","1986-05-10"
"Castellani","Emdad","1986-10-02"
"Maraist","Shirish","1986-12-28"
"Lipner","Gou","1986-08-31"
"Sommen","Roddy","1986-01-23"
"Kusakabe","Kauko","1986-02-03"
"Reghbati","Shimshon","1986-12-19"
"Junet","Izaskun","1986-10-22"
"Plessier","Yurij","1986-11-12"
"Rosch","Ekawit","1986-04-18"
"Bhattacharjee","Hironoby","1986-04-24"
"Jahnichen","Indrajit","1986-05-24"
"Alvarado","Hausi","1986-12-18"
"Zeleznik","Bokyung","1986-12-12"
"Maraist","Niranjan","1986-03-05"
"Pashtan","Shay","1986-08-07"
"Marshall","Oscal","1986-01-22"
"Falco","Kensyu","1986-08-24"
"Juneja","Hausi","1986-11-03"
"Azadmanesh","Shem","1986-11-17"
"Biros","Etsuo","1986-06-09"
"Chiola","Souichi","1986-10-23"
"Niizuma","Yahiko","1986-02-23"
"Casley","Hitofumi","1986-04-13"
"Herbst","Anneli","1986-10-25"
"Frezza","Aris","1986-08-25"
"Denis","Ulf","1986-03-01"
"Shumilov","Junsik","1986-04-22"
"Byoun","Saniya","1986-05-13"
"Pagter","Rafols","1986-06-20"
"Zuberek","Itzchak","1986-02-24"
"Spieker","Alagu","1986-12-23"
"Argence","Parto","1986-09-27"
"Asmuth","Rosella","1986-09-28"
"Ulupinar","Moty","1986-07-13"
"Garnick","Zhiguo","1986-06-25"
"Perz","Tooru","1986-12-14"
"Mansanne","Manohar","1986-11-03"
"Danlos","Ayonca","1986-11-19"
"Varman","Giap","1986-11-08"
"Pokrovskii","Henk","1986-04-04"
"Baby","Fuqing","1986-04-25"
"Motley","Jiang","1986-02-28"
"Daescu","Gina","1986-10-06"
"Kavraki","Chriss","1986-08-31"
"Eiter","Eldridge","1986-01-20"
"Capobianchi","Anneli","1986-02-10"
"Masada","Shooichi","1986-06-05"
"Stifter","Josyula","1986-05-03"
"Melton","Leaf","1986-07-12"
"McClurg","Jinpo","1986-10-09"
"Hanabata","Souichi","1986-09-02"
"Lunt","Ortrun","1986-04-26"
"Zielinski","Idoia","1986-02-26"
"Mitina","Nadjib","1986-12-03"
"Ebeling","Kiam","1986-10-01"
"Rathonyi","Francesca","1986-01-04"
"Kopetz","Paraskevi","1986-07-28"
"Rotem","Aris","1986-05-13"
"Giarratana","Zhilian","1986-11-23"
"Hartvigsen","Demos","1986-05-13"
"Gunderson","Olivera","1986-01-30"
"Asmuth","Abdulah","1986-01-27"
"Olano","Along","1986-05-04"
"Miyakawa","Jahangir","1986-01-03"
"Improta","Valeska","1986-06-06"
"Baezner","Ziva","1986-12-02"
"Thisen","Guangming","1986-12-17"
"Pouyioutas","Satoru","1986-07-26"
"Tsukune","Jouko","1986-09-13"
"Bhattacharjee","Sanjai","1986-03-02"
"Coney","Arch","1986-10-28"
"Krichel","Limsoon","1986-02-08"
"Rijckaert","Saniya","1986-01-18"
"Kumaresan","Tua","1986-04-10"
"Koshino","Martina","1986-06-16"
"Rohrbach","Conor","1986-10-23"
"Brodie","Yongqiao","1986-11-11"
"Montemayor","Mircea","1986-11-24"
"Chenney","Serif","1986-10-29"
"Binding","Unal","1986-06-02"
"Luders","Mack","1986-02-17"
"Kumaresan","Froduald","1986-12-27"
"Baalen","Shakhar","1986-05-31"
"Kampfer","Nitsan","1986-07-28"
"Litvinov","Frazer","1986-01-02"
"Peris","Tua","1986-08-05"
"Gips","Torsten","1986-02-06"
"Lung","Adam","1986-07-02"
"McDermid","Jaewoo","1986-04-29"
"Gelosh","Tsz","1986-10-28"
"Rousseau","TRUE","1986-07-26"
"Orlowski","Shaibal","1986-02-11"
"Gecsei","Adly","1986-01-08"
"Setlzner","Hirochika","1986-09-22"
"Kulisch","Mayuri","1986-08-21"
"Genin","Kazuhiko","1986-07-07"
"Ouhyoung","Arvin","1986-04-26"
"Schrooten","Yurii","1986-02-24"
"Mersereau","Theirry","1986-09-22"
"Varman","Genevieve","1986-12-02"
"Lupu","Anneke","1986-12-25"
"Melichar","Lech","1986-09-04"
"Lanteri","Christoph","1986-02-19"
"Kamber","Bedrich","1986-04-20"
"Stranks","Leucio","1986-01-15"
"Awdeh","Dekang","1986-10-10"
"Shigei","Rance","1986-12-27"
"Ranka","Aamod","1986-11-17"
"Raczkowsky","Masasuke","1986-04-16"
"Molenkamp","Alair","1986-02-23"
"Pehl","Feixiong","1986-03-30"
"Benantar","Shih","1986-07-10"
"Baca","Lijie","1986-05-20"
"Prenel","Qiwen","1986-12-01"
"Hanabata","Sandeepan","1986-06-30"
"Jording","Yuriy","1986-09-18"
"Bennet","Mingzeng","1986-05-16"
"Harnett","Takushi","1986-09-03"
"Angelov","Yurij","1986-12-09"
"Thambidurai","Doowon","1986-01-22"
"Ventosa","Tonny","1986-05-24"
"Warwick","Alair","1986-09-14"
"Schreiter","Georg","1986-11-21"
"Akazan","Serenella","1986-03-03"
"Kamble","Garnet","1986-05-06"
"Nishimukai","Hugo","1986-11-23"
"Rothe","Vatsa","1986-03-02"
"Rohrbach","Elzbieta","1986-08-14"
"Zedlitz","Lucien","1986-05-08"
"Rusterholz","Baocai","1986-09-11"
"Verhoeff","Divine","1986-09-14"
"Cools","Chiradeep","1986-06-02"
"Mansanne","Navid","1986-12-12"
"Zuberek","Duke","1986-03-06"
"Talmon","Nirmal","1986-04-15"
"Levasseur","Fumiyo","1986-03-06"
"Schade","Niranjan","1986-01-16"
"Bage","Randi","1986-10-14"
"Soicher","Udi","1986-02-09"
"Jansen","Manu","1986-08-23"
"Staylopatis","Dmitri","1986-05-13"
"Georgakopoulos","Navid","1986-08-13"
"Preusig","Manohar","1986-12-09"
"Cochrane","Xiaopeng","1986-10-05"
"Passino","Susanne","1986-11-27"
"Speer","Achilleas","1986-02-04"
"Shokrollahi","Guenter","1986-11-20"
"Melter","Aleksandar","1986-01-08"
"Furudate","Ghassan","1986-09-04"
"Kalafatis","Ioana","1986-07-02"
"Ritzmann","Filipp","1986-01-14"
"Olano","Florina","1986-12-05"
"Zastre","Pranav","1986-12-28"
"Chvatal","Sampalli","1986-03-30"
"Panangaden","Yurii","1986-10-31"
"Pargas","Nahum","1986-08-01"
"Percebois","Pasqua","1986-07-20"
"Vasanthakumar","Alagu","1986-10-07"
"Penn","Shigeo","1986-03-18"
"Dalton","Zorica","1986-02-21"
"Bottner","Huai","1986-04-09"
"Parfitt","Gudjon","1986-08-04"
"Morrey","Sakthirel","1986-04-14"
"Ruemmler","Irena","1986-11-27"
"Wilharm","Neelam","1986-03-29"
"Sambasivam","Arnd","1986-08-10"
"Oaver","Sedat","1986-09-09"
"Erev","Shuji","1986-06-28"
"Aloia","Fen","1986-08-18"
"Furedi","Mamdouh","1986-12-12"
"Klyachko","Roded","1986-10-09"
"Pettis","Jeane","1986-02-07"
"Vieri","Remmert","1986-02-09"
"Kusakabe","Gill","1986-03-28"
"McAffer","Xiaobin","1986-11-13"
"Bardell","Alejandra","1986-07-14"
"Schieder","Munir","1986-07-29"
"Seuren","Parviz","1986-03-23"
"Ramalingam","Chenyi","1986-01-09"
"Rosen","Valeska","1986-07-10"
"Nations","Kazuhisa","1986-01-18"
"Kakkad","Owen","1986-08-27"
"Ushiama","Fumiko","1986-09-24"
"Homond","Wayne","1986-10-11"
"Iivonen","Tadahiro","1986-03-24"
"Schach","Ult","1986-04-04"
"Savasere","Neven","1986-06-05"
"Macedo","Alenka","1986-04-26"
"Zultner","Vishv","1986-08-15"
"Serna","Marsja","1986-04-14"
"Wilfing","Aiman","1986-02-26"
"Wilharm","Bilhanan","1986-07-29"
"Chleq","Peternela","1986-01-12"
"Stifter","Alper","1986-09-18"
"Luga","Godehard","1986-03-14"
"Bisiani","Akeel","1986-07-28"
"Morrin","Adam","1986-09-23"
"Roisin","Naftaly","1986-06-21"
"Hagimont","Tooru","1986-05-06"
"Speek","Yuguang","1986-12-08"
"Diderrich","Perry","1986-09-20"
"Molenaar","Aamer","1986-04-22"
"Riexinger","Clyde","1986-05-09"
"Bahr","Alexius","1986-01-27"
"Kolinko","Remzi","1986-08-20"
"Benantar","Khue","1986-01-18"
"Unni","Fox","1986-10-14"
"Lunt","Atreyi","1986-02-11"
"Greibach","Zdislav","1986-04-30"
"Heyers","Lunjin","1986-10-04"
"Ashish","Jongsuk","1986-07-29"
"Solares","Gor","1986-01-17"
"Vidal","Shigeichiro","1986-01-31"
"Ertl","Tokuyasu","1986-10-03"
"Karnin","Nishit","1986-04-29"
"Carrera","Alejandro","1986-06-04"
"Birsak","Dines","1986-09-14"
"Marletta","Sanjoy","1986-11-08"
"Byoun","Yishai","1986-08-26"
"Swan","Takushi","1986-05-26"
"Birnbaum","Akeel","1986-06-30"
"Munawer","Subhada","1986-03-08"
"Mahmud","Marco","1986-12-30"
"Fujisaki","Baziley","1986-07-24"
"Stamatiou","Susanna","1986-05-18"
"Strehl","Houman","1986-05-20"
"Asrin","Bernd","1986-10-31"
"Binding","Ioana","1986-12-18"
"Escriba","Renny","1986-05-23"
"Fairtlough","Giordano","1986-11-23"
"Gewali","Huei","1986-07-03"
"Yetim","Malu","1986-05-12"
"Pollock","Brigham","1986-09-05"
"Merks","Baziley","1986-07-27"
"Czaja","Zongyan","1986-02-24"
"Isard","Heekeun","1986-01-17"
"Ponthieu","Uinam","1986-12-05"
"Bernick","Alain","1986-01-24"
"Klassen","Baruch","1986-03-17"
"Leaver","Feixiong","1986-06-14"
"Marchegay","Stella","1986-04-11"
"Delgrossi","Elzbieta","1986-11-05"
"Kumaresan","Constantine","1986-04-14"
"Langford","Zeljko","1986-06-10"
"Cusworth","Mokhtar","1986-03-23"
"Hainaut","Atreye","1986-02-20"
"Anick","Vojin","1986-09-04"
"Backhouse","Yakkov","1986-03-09"
"Brlek","Zhonghui","1986-04-29"
"Ruther","Girolamo","1986-05-14"
"Encarnacion","Halsur","1986-07-08"
"Duclos","Wuxu","1986-03-30"
"Ranai","Parviz","1986-01-21"
"Peir","Hidefumi","1986-12-28"
"Schach","Slavian","1986-10-26"
"Krupka","Wojceich","1986-09-20"
"Undy","Takanari","1986-05-27"
"Malinowski","Yoshinari","1986-01-23"
"Butterworth","Giri","1986-03-17"
"Matzen","Xumin","1986-09-27"
"McClurg","Yannis","1986-02-23"
"Etalle","Shao","1986-01-30"
"Ozery","Lalit","1986-03-28"
"Basart","Yagil","1986-03-26"
"Emden","Qunsheng","1986-03-15"
"Bultermann","Ortrun","1986-10-01"
"Meriste","Franziska","1986-10-17"
"Rabejac","Satyanarayana","1986-09-09"
"Pfau","Sadun","1986-11-01"
"Baba","Alenka","1986-09-06"
"Tasistro","Shietung","1986-12-25"
"Figueira","Arve","1986-02-05"
"Schahn","Fumino","1986-09-09"
"Bellmore","Xiaocheng","1986-09-11"
"Rosis","Sachar","1986-12-07"
"Vanwelkenhuysen","Heejo","1986-08-03"
"Heiserman","Xuedong","1986-05-16"
"Conta","Yuriy","1986-05-19"
"Matzen","Cedric","1986-07-23"
"Schmiedel","Ibibia","1986-02-13"
"Pfau","Yakkov","1986-02-25"
"Sooriamurthi","Heng","1986-03-05"
"Osgood","Jovan","1986-10-23"
"Alameldin","Yahiko","1986-09-26"
"Barriga","Jessie","1986-03-24"
"Erez","Nechama","1986-07-08"
"Delaune","Youpyo","1986-08-30"
"Cincotta","Yongmao","1986-11-24"
"Tsukune","Ung","1986-10-14"
"Sooriamurthi","Zissis","1986-01-21"
"Muhlberg","Ulises","1986-12-07"
"Narwekar","Idoia","1986-09-25"
"Gente","Zvonko","1986-08-08"
"Candan","Troy","1986-07-19"
"Ranum","Aleksandar","1986-10-26"
"Marshall","Tamiya","1986-10-04"
"Maliniak","Quingbo","1986-04-06"
"Zirintsis","Kiam","1986-06-14"
"Radivojevic","Sudhanshu","1986-02-18"
"Wielonsky","Toshimitsu","1986-07-26"
"Kamber","Barna","1986-05-27"
"Roisin","Domenick","1986-04-02"
"Spelt","Vishv","1986-09-13"
"Nergos","Georgi","1986-08-23"
"Armand","Adit","1986-10-29"
"Jeong","Sibyl","1986-07-28"
"Kushnir","Chenyi","1986-10-27"
"Stentiford","Ranan","1986-06-23"
"Monarch","Ioana","1986-11-16"
"Stanfel","Sanjiv","1986-12-13"
"Michaeli","Manibrata","1986-05-24"
"Masaki","Mohamadou","1986-07-29"
"Schonegge","Huan","1986-03-28"
"Garnier","Sergi","1986-10-06"
"Fabrizio","Ingmar","1986-04-03"
"Cappelletti","Frazer","1986-02-18"
"Siepmann","Lunjin","1986-01-07"
"Kandlur","Katsuo","1986-10-02"
"Rabehasaina","Wuxu","1986-11-14"
"Rehfuss","Anwar","1986-01-22"
"Levergood","Suebskul","1986-11-19"
"Denis","Aloys","1986-08-19"
"Rabejac","Erzsebet","1986-08-30"
"Hettesheimer","Kazuyasu","1986-07-27"
"Stenning","Kauko","1986-09-25"
"Fioravanti","Ayonca","1986-06-18"
"Rehfuss","Adamantios","1986-09-19"
"Henseler","Rafail","1986-09-26"
"Sudkamp","Aleksandar","1986-10-26"
"Syrotiuk","Lokesh","1986-10-01"
"Brookman","DAIDA","1986-10-24"
"Falck","Gina","1986-06-21"
"Stanfel","Aris","1986-12-25"
"Hoppenstand","Jackson","1986-06-29"
"Stiles","Manibrata","1986-01-01"
"Siochi","Nishit","1986-12-17"
"Perz","Domenick","1986-12-06"
"Slaats","Przemyslawa","1986-09-30"
"Scharstein","Jamaludin","1986-01-05"
"Stamatiou","Joydip","1986-06-01"
"Birta","Marc","1986-08-24"
"Marakhovsky","Adit","1986-06-22"
"Gist","Toshimori","1986-06-29"
"Prenel","Jaber","1986-04-28"
"Imataki","Lech","1986-11-10"
"Preusig","Sanjit","1986-06-06"
"Dalphin","Anyuan","1986-08-15"
"Harbusch","Nidapan","1986-07-17"
"Reghbati","Tsz","1986-01-30"
"Honglei","DeForest","1986-08-24"
"Matzke","Jinya","1986-06-18"
"Guenter","Baziley","1986-08-06"
"Engelmann","Moto","1986-06-18"
"Georgatos","Satyanarayana","1986-04-15"
"Nitto","Adas","1986-03-08"
"Ibel","Yinghua","1986-01-06"
"Ashish","Gunilla","1986-07-11"
"Papsdorf","Keiichiro","1986-09-08"
"Gammage","Aamer","1986-08-04"
"Srimani","Serap","1986-11-30"
"Schiper","Youpyo","1986-02-01"
"Whitcomb","Sorina","1986-11-01"
"Tsukune","Fabrizio","1986-10-27"
"Farrel","Christoper","1986-04-30"
"Denos","Mohammad","1986-04-09"
"Thorelli","Annemarie","1986-06-24"
"Ellozy","Billur","1986-01-16"
"Rodiger","Masamitsu","1986-10-18"
"Baby","Shichao","1986-05-13"
"Kobara","Makato","1986-12-24"
"Francisci","Rildo","1986-02-27"
"Kopetz","Sivanarayana","1986-03-14"
"Kavvadias","Taizo","1986-04-11"
"Koyama","Seongbae","1986-12-31"
"Middleton","Irena","1986-07-10"
"Basagni","Ronghao","1986-10-13"
"Demizu","Zhiguo","1986-10-29"
"Rebaine","Fumiya","1986-11-20"
"Rajcani","Sungwon","1986-08-23"
"Daescu","Georgi","1986-02-06"
"Yavatkar","Aron","1986-06-15"
"Domenig","Prasadram","1986-04-22"
"Setlzner","Keung","1986-06-23"
"Kaminger","Shridhar","1986-12-16"
"Teitelbaum","Yuichiro","1986-09-21"
"Delaune","Shunichi","1986-02-10"
"Daescu","Rimli","1986-08-12"
"Caine","Pradeep","1986-12-06"
"Godskesen","Mark","1986-03-26"
"Gecseg","Abdelghani","1986-04-23"
"Kambil","Vincent","1986-01-19"
"Spinelli","Khun","1986-04-05"
"Menyhert","Barton","1986-03-11"
"Greenaway","Leon","1986-09-23"
"Capobianchi","Ramzi","1986-03-26"
"Orlowski","Takushi","1986-03-18"
"Heuser","Odoardo","1986-06-20"
"Perfilyeva","Hsiangchu","1986-12-30"
"Steinauer","Kristof","1986-04-27"
"Kalloufi","Stabislas","1986-08-17"
"Miculan","Reinhold","1986-11-14"
"Adachi","Berhard","1986-04-14"
"Murthy","Sumant","1986-08-26"
"Quittner","Mansur","1986-07-19"
"Bottner","Neelam","1986-05-19"
"Rande","Mario","1986-04-01"
"Oppitz","Basil","1986-11-09"
"Garrabrants","Conal","1986-04-10"
"Erdi","Remko","1986-04-26"
"Hofting","Duro","1986-02-22"
"Maierhofer","Chaosheng","1986-01-13"
"Jeansoulin","Amstein","1986-10-31"
"Khalil","Shushma","1986-03-25"
"Salverda","Giordano","1986-05-06"
"Ranum","Nadjib","1986-04-15"
"Michaels","Huei","1986-08-16"
"Gonthier","Shigeo","1986-02-05"
"Flanders","Adin","1986-09-02"
"Terekhov","Dekang","1986-08-06"
"Leivant","Elvia","1986-07-27"
"Auyong","Kwok","1986-01-07"
"Pramanik","Oldrich","1986-11-21"
"Carrera","Atreyi","1986-08-25"
"Gargeya","Michaela","1986-12-14"
"Yetim","Arunas","1986-04-13"
"Dratva","Paloma","1986-01-26"
"Aloia","Berna","1986-03-21"
"Anick","Chuanti","1986-08-27"
"Uchoa","Martien","1986-02-22"
"Savasere","Rildo","1986-11-12"
"Bernardinello","Phillip","1986-06-15"
"Yeung","Huiqun","1986-05-01"
"Goodrum","Zhigen","1986-08-08"
"Braunschweig","Alagu","1986-08-29"
"Lamma","Jacqueline","1986-04-27"
"Erdi","Collette","1986-01-18"
"Lanphier","Manibrata","1986-12-26"
"Fraisse","Yefim","1986-08-17"
"Ramsak","Phule","1986-10-07"
"Alameldin","Qiwen","1986-11-14"
"Denti","DeForest","1986-05-02"
"Birrer","Lucian","1986-09-29"
"Ventosa","Yagil","1986-08-05"
"Manderick","Ekawit","1986-02-17"
"Schade","Zhaofang","1986-11-07"
"Akaboshi","Hinrich","1986-04-02"
"Pokrovskii","Vasilii","1986-03-19"
"Morrin","Xudong","1986-07-14"
"Willoner","Temple","1986-10-14"
"Staelin","Venkatesan","1986-08-04"
"Walston","Sven","1986-07-06"
"Ramsay","Lijie","1986-12-13"
"Bressoud","Brigham","1986-06-17"
"Shihab","Jasminko","1986-07-05"
"Zolotykh","Shai","1986-08-24"
"Reghbati","Eric","1986-08-21"
"Ozeri","Moon","1986-09-04"
"Maliniak","Subhrajyoti","1986-11-05"
"Frijda","Jayson","1986-10-13"
"Matteis","Kenton","1986-01-09"
"Birch","Francoise","1986-04-04"
"Sluis","Uri","1986-10-25"
"Pesch","Along","1986-12-07"
"Koshiba","Weiru","1986-02-08"
"Perelgut","Kish","1986-04-01"
"Rosti","Manibrata","1986-10-28"
"Fandrianto","Udaiprakash","1986-09-23"
"Haddadi","Georg","1986-10-20"
"Pusterhofer","Tayeb","1986-09-11"
"Murtafg","Shuzo","1986-04-12"
"Hasenauer","Abdelwaheb","1986-03-17"
"Honiden","Lucian","1986-02-12"
"Bardell","Bernice","1986-08-12"
"Atrawala","Herbert","1986-05-02"
"Heusch","Lobel","1986-05-23"
"Merel","Sadun","1986-10-30"
"Hagimont","Sanjai","1986-09-10"
"Veevers","Roded","1986-01-26"
"Babu","KayLiang","1986-05-25"
"Foong","Hsiangchu","1986-01-13"
"Zultner","Teruyuki","1986-03-08"
"Vanwelkenhuysen","Yongmin","1986-05-29"
"Rabejac","Golgen","1986-01-04"
"Swan","Candida","1986-02-20"
"Lammel","Alper","1986-01-20"
"Kieras","Lenore","1986-09-02"
"Verhaegen","Mohamadou","1986-12-19"
"Zirintsis","Guadalupe","1986-04-01"
"Delgrange","Emran","1986-05-09"
"Denos","Tua","1986-05-25"
"Speckmann","Jaroslava","1986-12-30"
"Lundstrom","Aiichiro","1986-02-02"
"Glinert","Aloke","1986-01-03"
"Merkl","Karlis","1986-03-25"
"Suppi","Aiman","1986-05-04"
"Heinisuo","Iara","1986-05-02"
"Ranze","Xinan","1986-04-12"
"Erman","Hongzue","1986-03-24"
"Serre","Jixiang","1986-10-29"
"Krone","Leandro","1986-09-25"
"Renear","Howell","1986-05-06"
"Pettit","Yuichiro","1986-06-13"
"Auria","Eric","1986-02-24"
"Harllee","Renny","1986-04-04"
"Aumann","Naraig","1986-12-25"
"Gilg","Hatsukazu","1986-03-24"
"Cannata","Moriyoshi","1986-02-17"
"Wegerle","Yechezkel","1986-03-31"
"Thorensen","Phuoc","1986-06-07"
"Rodier","Ottavia","1986-03-13"
"Swiler","Sugwoo","1986-03-02"
"Farris","Kish","1986-12-30"
"Melichar","Kiyokazu","1986-04-19"
"Swist","Khoa","1986-08-30"
"Cusworth","Tomofumi","1986-06-17"
"Ferretti","Harngdar","1986-08-22"
"Takanami","Avishai","1986-07-20"
"Danecki","Zhanqiu","1986-05-19"
"Sidje","Doohun","1986-06-06"
"Perfilyeva","Qingxiang","1986-10-28"
"Huttel","Dinkar","1986-06-18"
"Polajnar","Gopalakrishnan","1986-10-19"
"Vadhan","Khaled","1986-06-16"
"Mandell","IEEE","1986-09-13"
"Nishimukai","Kayoko","1986-10-05"
"Restivo","Lubomir","1986-02-14"
"Jonsson","Tsutomu","1986-08-11"
"DasSarma","Leon","1986-10-21"
"Kornyak","Bernardo","1986-04-17"
"Bernardinello","Wayne","1986-03-17"
"Kalsbeek","Sreekrishna","1986-12-03"
"Schueller","Giap","1986-08-11"
"Unni","Shiv","1986-03-20"
"Fordan","Tadahiro","1986-04-13"
"Nyanchama","Visit","1986-07-10"
"Rosenbaum","Godehard","1986-01-17"
"Lammel","Ymte","1986-08-06"
"Cairo","Douadi","1986-01-12"
"Sluis","Gregory","1986-07-04"
"Stranks","Leaf","1986-02-27"
"Besselaar","Jaana","1986-09-26"
"Bael","Moriyoshi","1986-03-22"
"DiGiano","Leen","1986-08-20"
"Stiles","Lech","1986-06-01"
"Kilgore","Bodh","1986-01-26"
"Pileggi","Udi","1986-04-07"
"Ambroszkiewicz","Tesuya","1986-08-05"
"Piazza","Junichi","1986-04-03"
"Setia","Chenye","1986-10-08"
"Winter","Zhonghua","1986-08-13"
"Szemeredi","Luise","1986-01-09"
"Yetto","Mitchel","1986-09-14"
"Pettit","Manohar","1986-04-19"
"Emmerich","Olivera","1986-10-26"
"Billawala","Herbert","1986-05-11"
"Deyuan","Gurbir","1986-12-27"
"Bolotov","Sigeru","1986-07-23"
"Kalorkoti","Rosalyn","1986-04-20"
"Spinelli","Yuping","1986-12-05"
"Rettelbach","Keiichiro","1986-01-09"
"Marakhovsky","Uriel","1986-12-10"
"Aingworth","Mohammad","1986-02-18"
"Rodham","Alper","1986-09-28"
"Bresenham","Saeed","1986-05-15"
"Strooper","Elrique","1986-06-09"
"Wissmann","Anneke","1986-07-21"
"Gewali","Trygve","1986-10-19"
"Pietrzykowski","Kristian","1986-07-12"
"Seiwald","Fusako","1986-04-20"
"Gill","Shigenori","1986-04-29"
"Baranowski","Heon","1986-12-12"
"Peltason","Sadun","1986-05-01"
"Zizka","Zhensheng","1986-05-15"
"Garigliano","Doowon","1986-01-18"
"Pietrzykowski","Feixiong","1986-10-06"
"Grandbois","Haldun","1986-09-19"
"Melichar","JoAnne","1986-02-25"
"Baezner","Weiye","1986-12-19"
"Klyachko","Navid","1986-05-21"
"Zobel","Domenico","1986-05-27"
"Syrzycki","Hausi","1986-12-15"
"Hedayat","Atreye","1986-12-24"
"Munoz","Vasilii","1986-08-30"
"Binding","Marc","1986-01-26"
"Papastamatiou","Peer","1986-05-13"
"Isaak","Hyuncheol","1986-07-25"
"Zhiwei","Limsoon","1986-01-13"
"Undy","Junsik","1986-01-13"
"Gerteisen","Suzette","1986-03-09"
"Erol","Kazuhira","1986-12-03"
"Simmen","Erzsebet","1986-06-22"
"Irland","Subhankar","1986-10-30"
"Gerteisen","DeForest","1986-04-16"
"Kawashimo","Marsal","1986-04-23"
"Rande","Billur","1986-03-22"
"Honiden","Uwe","1986-01-22"
"Picco","Akemi","1986-08-23"
"Bouloucos","Chrisa","1986-08-31"
"Gecsei","Ziyad","1986-03-09"
"Gubsky","Angus","1986-02-24"
"Baalen","Zvonko","1986-12-31"
"Birke","Hidde","1986-03-02"
"Plump","Toshiki","1986-03-17"
"Kolvik","Licheng","1986-02-21"
"Nanard","Mohamadou","1986-12-01"
"Cummings","Zeydy","1986-04-14"
"Valiente","Shir","1986-12-06"
"Brlek","Eldridge","1986-12-02"
"Heping","Leen","1986-04-25"
"Garigliano","Luerbio","1986-11-07"
"Legleitner","Isaac","1986-03-04"
"Busillo","Serif","1986-09-14"
"Garrabrants","Jungsoon","1986-07-22"
"Ritcey","Nevio","1986-12-04"
"Constantine","Oksana","1986-08-08"
"Conta","Christfried","1986-05-14"
"Nyrup","Huican","1986-05-31"
"Schaaf","Uzi","1986-08-06"
"Rusterholz","Piyush","1986-05-27"
"Egerstedt","Sverrir","1986-08-27"
"Zielinski","Cristinel","1986-03-15"
"Ramsey","Idoia","1986-01-19"
"Brender","Kazuhiro","1986-07-27"
